level,shot,target,pigsBefore,pigsAfter
2,0-4-10-14-5,stone8,1,1
2,0-4-10-14-5-5,stone9,1,2
2,0-7,stone10,1,1
2,0-7-2,ice11,1,1
2,0-7-2-6,stone11,1,1
2,0-7-2-6-0,ice12,1,0
2,0-9,stone15,1,1
2,0-9-21,ice6,1,1
2,0-9-21-10,stone5,1,1
2,0-9-21-10-7,stone12,1,1
2,0-9-21-10-7-5,ice10,1,0
2,0-1,ice12,1,0
2,0-6,ice7,1,1
2,0-6-2,ice10,1,1
2,0-6-2-10,wood14,1,0
2,0-7,stone10,1,1
2,0-7-3,ice11,1,1
2,0-7-3-5,stone14,1,1
2,0-7-3-5-6,stone13,1,1
2,0-7-3-5-6-1,ice11,1,0
2,0-5,ice12,1,0
2,0-4,ice12,1,1
2,0-4-6,stone10,1,1
2,0-4-6-7,stone14,1,0
2,0-8,stone15,1,1
2,0-8-21,ice6,1,1
2,0-8-21-2,ice11,1,0
2,0-6,ice7,1,1
2,0-6-10,stone5,1,1
2,0-6-10-11,stone4,1,1
2,0-6-10-11-4,ice10,1,1
2,0-6-10-11-4-7,stone8,1,2
2,0-8,stone15,1,1
2,0-8-14,ice11,1,1
2,0-8-14-10,stone7,1,1
2,0-8-14-10-1,ice11,1,0
2,0-7,stone10,1,1
2,0-7-3,ice11,1,1
2,0-7-3-5,stone14,1,1
2,0-7-3-5-5,stone13,1,0
2,0-6,ice7,1,1
2,0-6-10,stone5,1,1
2,0-6-10-0,stone5,1,1
2,0-6-10-0-0,ice10,1,1
2,0-6-10-0-0-12,stone7,1,2
2,0-6,ice7,1,1
2,0-6-6,stone13,1,1
2,0-6-6-6,stone2,1,1
2,0-6-6-6-10,wood14,1,1
2,0-6-6-6-10-15,stone5,1,1
2,0-8,stone15,1,0
2,0-7,stone10,1,1
2,0-7-4,ice11,1,1
2,0-7-4-15,wood13,1,1
2,0-7-4-15-0,wood13,1,1
2,0-7-4-15-0-0,wood13,1,2
2,0-7,stone10,1,1
2,0-7-5,ice11,1,1
2,0-7-5-2,stone12,1,0
2,0-7,stone10,1,1
2,0-7-3,ice11,1,1
2,0-7-3-8,wood15,1,1
2,0-7-3-8-3,stone12,1,1
2,0-7-3-8-3-7,ice6,1,2
2,0-2,ice12,1,1
2,0-2-8,ice12,1,0
2,0-10,stone9,1,1
2,0-10-8,stone14,1,1
2,0-10-8-3,stone10,1,1
2,0-10-8-3-13,ice11,1,1
2,0-10-8-3-13-5,stone15,1,0
2,0-5,ice12,1,0
2,0-8,stone15,1,1
2,0-8-23,stone13,1,1
2,0-8-23-5,stone16,1,1
2,0-8-23-5-7,ice7,1,1
2,0-8-23-5-7-6,ice14,1,2
